03:49:43.607858 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:49:43.607869 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:49:59.962877 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:49:59.974737 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:50:01.834630 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:50:31.500004 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:50:31.500015 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:50:31.941112 fe:20:cd:ed:89:0f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.11, length 28
03:50:33.067287 fe:20:cd:ed:89:0f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.11, length 28
03:50:40.922875 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:50:41.367080 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:51:02.866713 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:51:03.907040 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:51:03.907052 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:51:11.775682 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:12.697286 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:13.721231 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:14.745276 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:15.769319 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:16.793344 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:17.817369 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:18.739004 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:19.558965 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:51:19.558977 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:51:19.763033 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:20.787241 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:21.811042 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:22.835117 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:23.859091 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:24.780889 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:25.804921 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:26.828890 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:27.852971 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:28.876987 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:29.900976 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:30.822552 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
